Year,PlayerID,TourID,EventID,Event_Code,Host,Location,Game,Buy_In,Total_Entries,Counted_Entries,Entries/Indivdual,Buy_In_Est_Rebuys,Cashed,Won,Points,Place,PGT_Point,Amount_Won,Net
2016,1280,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,1,0,203,5,400,1100000,800000
2016,1279,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,1,0,185,6,240,800000,500000
2016,1278,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,1,0,171,7,180,600000,300000
2016,1243,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1244,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1245,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1283,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1284,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1248,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1249,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1241,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1250,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1251,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1252,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1239,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
